model_name,context_window_operation,context_window_size,similarity_measure,score,time,time_per
classla/bcms-bertic,sum,20,cosine,0.5369605932207028,1.2271639160026098,0.01095682067859473
EMBEDDIA/crosloengual-bert,sum,20,cosine,0.5291476185861274,1.365420958998584,0.012191258562487357
classla/bcms-bertic,sum,5,cosine,0.516778571887221,1.2260458329983521,0.010946837794628144
bert-base-multilingual-uncased,sum,20,cosine,0.5094029851167056,1.7773892500008515,0.015869546875007603
bert-base-multilingual-uncased,sum,50,cosine,0.5000137932783694,1.7918312500005413,0.01599849330357626
bert-base-multilingual-cased,sum,50,cosine,0.4844767849918683,1.8241072079981677,0.01628667149998364
classla/bcms-bertic,sum,10,cosine,0.48384439664373824,1.2229997079994064,0.0109196402499947
bert-base-multilingual-cased,sum,20,cosine,0.4767933649335321,1.7920668340011616,0.01600059673215323
bert-base-multilingual-uncased,sum,10,cosine,0.45396213227581017,2.028875459000119,0.018114959455358206
classla/bcms-bertic,sum,50,cosine,0.4522838017871813,1.2367089170002146,0.01104204390178763
EMBEDDIA/crosloengual-bert,sum,50,cosine,0.4461970956170208,1.3687168329997803,0.01222068600892661
EMBEDDIA/crosloengual-bert,sum,10,cosine,0.4211245688338874,1.4027614170008746,0.01252465550893638
classla/bcms-bertic,none,0,cosine,0.40686871598444985,1.3857624169977498,0.012372878723194194
bert-base-multilingual-cased,sum,10,cosine,0.38710462059566964,1.775860833000479,0.015855900294647136
classla/bcms-bertic,sum,1,cosine,0.38531270938371187,1.2153181249996123,0.01085105468749654
EMBEDDIA/crosloengual-bert,sum,5,cosine,0.38109765685336483,1.3619840829996974,0.012160572169640156
classla/bcms-bertic,sum,2,cosine,0.35330482678049224,1.2547710420003568,0.011203312875003186
bert-base-multilingual-uncased,sum,5,cosine,0.3054218547966827,1.757402250001178,0.01569109151786766
EMBEDDIA/crosloengual-bert,sum,2,cosine,0.26133166879326497,1.5538403329992434,0.013873574401778959
EMBEDDIA/crosloengual-bert,sum,1,cosine,0.25982144294983045,1.3685092920022726,0.012218832964306005
bert-base-multilingual-cased,sum,5,cosine,0.2441489529732669,1.8481597500031057,0.016501426339313445
bert-base-multilingual-uncased,sum,2,cosine,0.22411191039283884,1.7579912500004866,0.015696350446432916
bert-base-multilingual-cased,sum,1,cosine,0.2204249923318755,1.7842929999969783,0.01593118749997302
classla/bcms-bertic,sum,100,cosine,0.21601643279597538,1.2527554589978536,0.011185316598195121
bert-base-multilingual-uncased,sum,1,cosine,0.21598645290241114,1.8017423749988666,0.016086985491061308
EMBEDDIA/crosloengual-bert,sum,100,cosine,0.21519433708053604,1.40456500000073,0.012540758928577946
bert-base-multilingual-cased,none,0,cosine,0.19757678737004947,2.0843350830000418,0.01861013466964323
bert-base-multilingual-cased,sum,2,cosine,0.18383907570624292,1.7888982080003188,0.015972305428574276
bert-base-multilingual-uncased,sum,100,cosine,0.13072757217277942,1.7648870420016465,0.015757920017871845
EMBEDDIA/crosloengual-bert,none,0,cosine,0.11580091341507259,1.441690749998088,0.012872238839268644
bert-base-multilingual-cased,sum,100,cosine,0.10848020415217807,1.811033915997541,0.016169945678549475
bert-base-multilingual-uncased,none,0,cosine,0.0778098659378037,2.112427583000681,0.01886096056250608
